Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7784188,El Principe,Niccolò Machiavelli,"Machiavelli, Niccolò",,"=""9500286769""","=""9789500286763""",4,3.83,Grupo Ilhsa S.A.,Paperback,208,2014,1513,,2016/01/24,,,read,,,,1,0
680111,El Hombre Que Calculaba (Spanish Edition),Malba Tahan,"Tahan, Malba",,"=""987102133X""","=""9789871021338""",4,4.10,Pluma y Papel,Paperback,,2003,1938,,2016/01/24,,,read,,,,1,0
382635,Patas arriba: La escuela del mundo al revés,Eduardo Galeano,"Galeano, Eduardo",,"=""9508950501""","=""9789508950505""",4,4.39,Catalogos,Paperback,0,1998,1998,,2016/01/24,,,read,,,,1,0
1129596,Tiempo Cero,Italo Calvino,"Calvino, Italo",,"=""8445070517""","=""9788445070512""",5,3.85,Minotauro,Paperback,170,,1967,,2016/01/24,,,read,,,,1,0
7301673,The Element: How Finding Your Passion Changes Everything,Ken Robinson,"Robinson, Ken",,"=""0141045256""","=""9780141045252""",5,3.86,Penguin,Paperback,274,2009,2009,,2016/01/24,,,read,,,,1,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",5,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2016/01/24,,,read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.37,Vintage,Paperback,512,2015,2011,,2016/01/24,,,read,,,,1,0
3272165,Bad Science,Ben Goldacre,"Goldacre, Ben",,"=""0007240198""","=""9780007240197""",0,4.06,HarperCollins Publishers,Paperback,338,2008,2008,,2016/01/23,to-read,to-read (#2),to-read,,,,0,0
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",3,3.96,Harper Press,Paperback,273,2005,-400,,2016/01/23,,,read,,,,1,0
310612,A Confederacy of Dunces,John Kennedy Toole,"Toole, John Kennedy",Walker Percy,"=""0802130208""","=""9780802130204""",3,3.89,Grove Weidenfeld,Paperback,394,1994,1980,,2016/01/23,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""""","=""""",2,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2016/01/23,,,read,,,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""""","=""""",0,3.85,Bantam Classics,Paperback,201,1972,1915,,2016/01/23,to-read,to-read (#1),to-read,,,,0,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""""","=""""",4,4.32,"Harcourt, Inc.",Paperback,96,2000,1943,,2016/01/23,,,read,,,,1,0
8921,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,"Doyle, Arthur Conan","Mark Hallaq, Lígia Junqueira, Anne Perry","=""""","=""""",3,4.13,Signet,Mass Market Paperback,256,2001,1901,,2016/01/23,,,read,,,,1,0
18490,Frankenstein,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",,"=""0141439475""","=""9780141439471""",3,3.85,Penguin,Paperback,273,2003,1818,,2016/01/23,,,read,,,,1,0
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan","Richmond Hoxie, Michael Henry Heim","=""0571224385""","=""9780571224388""",1,4.11,Harper Perennial,Paperback,314,2009,1984,,2016/01/23,,,read,,,,1,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",5,4.11,Harper,Mass Market Paperback,417,2003,1967,,2016/01/23,,,read,,,,1,0
7613,Animal Farm,George Orwell,"Orwell, George","Peter Škerl, Celâl Üstüner, Τζωρτζ Όργουελ, José Manuel Moreno Cidoncha, Pau Masiques, Κυριάκος Ντελόπουλος, Николай Николов, Celâl Üster, Boris Grabnar, Αύγουστος Κορτώ, Chris Mould","=""""","=""""",4,3.98,Plume,Paperback,122,2003,1945,,2016/01/23,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2016/01/23,,,read,,,,1,0
