"senador","nro_de_orden","inicio_periodo_legal","cese_periodo_legal","inicio_periodo_real","cese_periodo_real","provincia","partido_politico","reemplazo","observaciones"
"TOMAS, EMILIO J.J.",81,"1989-12-13","1998-12-09","1989-12-13","1991-02-21","FORMOSA","JUSTICIALISTA","SAMUDIO GODOY, WILFRIDO","REEMPLAZA A MANUEL VIDAL POR EXPIRACION DE MANDATO. FALLECIO EN 1991. LO REEMPLAZA W. SAMUDIO GODOY."
"VIDAL, MANUEL D.",82,"1983-11-29","1989-12-09","1983-11-29","1989-03-06","FORMOSA","MOV. DE INTEGRAC. Y DESARROLLO","TOMAS, EMILIO J.J.","FALLECIO EL 6 DE MARZO DE  1989. LO REEMPLAZA EMILIO TOMAS."
"SAMUDIO GODOY, WILFRIDO",39,"1991-04-24","1998-12-09","1991-04-24","1993-08-17","FORMOSA","JUSTICIALISTA","PEÑA DE LOPEZ, ANA MARGARITA","COMPLETA EL PERIODO DE JUAN J. TOMAS. FALLECIO EN 1993. LO REEMPLAZA ANA PEÑA DE LOPEZ."
"PEÑA DE LOPEZ, ANA MARGARITA",97,"1991-04-24","1998-12-09","1993-09-01","1998-12-09","FORMOSA","JUSTICIALISTA","RODRIGUEZ, MANUEL AUGUSTO","COMPLETA EL PERIODO DE SAMUDIO GODOY."
"HERRERA,  JULIO",3179,"1898-05-02","1907-04-30","1898-05-02","1907-04-30","CATAMARCA","SIN ESPECIFICAR","DEL PINO,  ANTONIO","REEMPLAZA A ANTONIO DEL PINO POR EXPIRACION DE MANDATO."
"HERRERA,  JULIO",3179,"1946-07-19","1949-04-30","1946-07-19","1949-04-30","CATAMARCA","SIN ESPECIFICAR","ANGULO,  RODOLFO ANTONIO",NA
"MOLINA,  EMILIO",3180,"1916-04-29","1925-04-30","1916-04-29","1919-04-29","CATAMARCA","SIN ESPECIFICAR","SORIA,  FERNANDO M.","REEMPLAZA A ANTONIO DEL PINO POR EXPIRACION DE MANDATO. FALLECE EN 1919. LO REEMPLAZA FERNANDO SORIA."
"SORIA,  FERNANDO M.",3181,"1916-04-29","1925-04-30","1922-12-19","1925-04-30","CATAMARCA","SIN ESPECIFICAR","RUZO,  ALEJANDRO","COMPLETA EL PERIODO DE EMILIO MOLINA. (1916/1925)."
"SORIA,  FERNANDO M.",3181,"1928-06-22","1937-04-30","1928-06-22","1930-09-06","CATAMARCA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A SEGUNDO GALLO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"RUZO,  ALEJANDRO",3182,"1925-04-28","1934-04-30","1925-04-28","1930-09-06","CATAMARCA","U. C. R. ANTIPERSONALISTA","DISOLUCION DEL P. LEGISLATIVO,","EN 1922 SE LE RECHAZA EL DIPLOMA. REEMPLAZA A FERNANDO SORIA POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
