"senador","nro_de_orden","inicio_periodo_legal","cese_periodo_legal","inicio_periodo_real","cese_periodo_real","provincia","partido_politico","reemplazo","observaciones"
"FERNÁNDEZ DE KIRCHNER, CRISTINA E.",212,"2017-12-10","2023-12-09","2017-12-10","Sin Datos","BUENOS AIRES","UNIDAD CIUDADANA","LINARES, JAIME",NA
"ABRAMETO, JACOBO ALBERTO",371,"2007-08-08","2007-12-09","2007-08-08","2007-12-09","RÍO NEGRO","UNIÓN CÍVICA RADICAL","PICHETTO, MIGUEL ÁNGEL","Sucede al Senador Falcó, fallecido el 28/07/2007"
"ESTENSSORO, MARÍA EUGENIA",373,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","CIUDAD AUTÓNOMA de BUENOS AIRES","ALIANZA COALICIÓN CÍVICA","MICHETTI, MARTA GABRIELA",NA
"CABANCHIK, SAMUEL MANUEL",374,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","CIUDAD AUTÓNOMA de BUENOS AIRES","ALIANZA COALICIÓN CÍVICA","SANTILLI, DIEGO CESAR",NA
"CORREGIDO, ELENA MERCEDES",376,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","CHACO","ALIANZA FRENTE JUST. CHACO MERECE MÁS","AGUILAR, EDUARDO ALBERTO",NA
"BIANCALANI, FABIO DARIO",377,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","CHACO","ALIANZA FRENTE JUST. CHACO MERECE MÁS","PILATTI VERGARA, MARÍA INÉS",NA
"NIKISCH, ROY ABELARDO",378,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","CHACO","ALIANZA FRENTE DE TODOS","ROZAS, ÁNGEL",NA
"GUASTAVINO, PEDRO GUILLERMO ÁNGEL",379,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","ENTRE RÍOS","ALIANZA FRENTE JUSTICIALISTA PARA LA VICTORIA","GUASTAVINO, PEDRO GUILLERMO ÁNGEL",NA
"PETCOFF NAIDENOFF, LUIS CARLOS",355,"2005-12-10","2011-12-09","2005-12-10","2011-12-09","FORMOSA","UNIÓN CÍVICA RADICAL","PETCOFF NAIDENOFF, LUIS CARLOS",NA
"FELLNER, LILIANA BEATRIZ",356,"2005-12-10","2011-12-09","2005-12-10","2011-12-09","JUJUY","FRENTE PARA LA VICTORIA","FELLNER, LILIANA BEATRIZ",NA
"JENEFES, GUILLERMO RAÚL",297,"2005-12-10","2011-12-09","2005-12-10","2011-12-09","JUJUY","FRENTE PARA LA VICTORIA","BARRIONUEVO, WALTER BASILIO",NA
"MORALES, GERARDO RUBÉN",295,"2005-12-10","2011-12-09","2005-12-10","2011-12-09","JUJUY","FRENTE JUJEÑO","MORALES, GERARDO RUBÉN",NA
"MAZA, ADA MERCEDES",300,"2005-12-10","2011-12-09","2005-12-10","2011-12-09","LA RIOJA","PARTIDO DE LA VICTORIA","AGUIRRE, HILDA CLELIA",NA
"MENEM, CARLOS SAÚL",357,"2005-12-10","2011-12-09","2005-12-10","2011-12-09","LA RIOJA","JUSTICIALISTA","LUNA, MIRTHA MARÍA TERESITA",NA
"VIANA, LUIS ALBERTO",360,"2005-12-10","2011-12-09","2005-12-10","2011-12-09","MISIONES","FRENTE JUSTICIALISTA para la  VICTORIA","IRRAZÁBAL, JUAN MANUEL",NA
"RODRÍGUEZ SAÁ, ADOLFO",365,"2005-12-10","2011-12-09","2005-12-10","2011-12-09","SAN LUIS","ALIANZA FRENTE JUSTICIALISTA","RODRÍGUEZ SAÁ, ADOLFO",NA
"SALAZAR, CARLOS EDUARDO",372,"2003-11-27","2009-12-09","2007-11-07","2009-12-09","TUCUMÁN","FUERZA REPUBLICANA","ROJKES DE ALPEROVICH, BEATRIZ LILIANA",NA
"PARRILLI, NANCI MARIA AGUSTINA",383,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","NEUQUÉN","ALIANZA FRENTE PARA LA VICTORIA","CREXELL, CARMEN LUCILA",NA
"LORES, HORACIO",384,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO",NA,NA
"PICHETTO, MIGUEL ÁNGEL",311,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","RÍO NEGRO","ALIANZA FRENTE PARA LA VICTORIA","PICHETTO, MIGUEL ÁNGEL","RENOVO MANDATO"
"BONGIORNO, MARIA JOSE",385,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","RÍO NEGRO","ALIANZA FRENTE PARA LA VICTORIA","GARCÍA LARRABURU, SILVINA MARCELA",NA
"VERANI, PABLO",386,"2007-12-10","2013-12-09","2007-12-10","2013-09-25","RÍO NEGRO","ALIANZA CONCERTACIÓN PARA EL DESARROLLO","SOSA, MARIA NOEMI","DPP-48/13 FALLECIMIENTO OCURRIDO EL 25.09.2013"
"ROMERO, JUAN CARLOS",35,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","SALTA","ALIANZA PARTIDO JUSTICIALISTA - FRENTE JUSTICIALISTA PARA LA VICTORIA","URTUBEY, RODOLFO JULIO",NA
"ESCUDERO, SONIA MARGARITA",313,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","SALTA","ALIANZA PARTIDO JUSTICIALISTA - FRENTE JUSTICIALISTA PARA LA VICTORIA","FIORE VIÑUALES, MARÍA CRISTINA DEL VALLE",NA
"PEREZ ALSINA, JUAN AGUSTIN",387,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","SALTA","ALIANZA FRENTE PARA LA VICTORIA - PARTIDO RENOVADOR DE SALTA","ROMERO, JUAN CARLOS",NA
"RACHED, EMILIO ALBERTO",388,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","SANTIAGO DEL ESTERO","FRENTE CÍVICO POR SANTIAGO","ZAMORA, GERARDO",NA
"ITÚRREZ DE CAPPELLINI, ADA ROSA DEL VALLE",389,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","SANTIAGO DEL ESTERO","FRENTE CÍVICO POR SANTIAGO","ITÚRREZ DE CAPPELLINI, ADA ROSA DEL VALLE",NA
"CORRADI DE BELTRAN, ANA MARIA",390,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","SANTIAGO DEL ESTERO","MOVIMIENTO SANTIAGO VIABLE","MONTENEGRO, GERARDO ANTENOR",NA
"MARTINEZ, JOSE CARLOS",391,"2007-12-10","2013-12-09","2007-12-10","2011-07-07","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA","SENADOR EN EJERCICIO,","POR FALLECIMIENTO DEL DÍA 07.07.2011 (DPP-13/11)"
"DIAZ, MARIA ROSA",392,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA","CATALÁN MAGNI, JULIO CÉSAR",NA
"COLAZO, MARIO JORGE",326,"2007-12-10","2013-12-09","2007-12-10","2013-12-09","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","UNIDAD FEDERALISTA","GARRAMUÑO, JORGE ALBERTO",NA
"CALCAGNO Y MAILLMANN, ERIC",393,"2007-12-10","2011-12-09","2007-12-10","2011-12-09","BUENOS AIRES","FRENTE PARA LA VICTORIA","FERNÁNDEZ, ANIBAL",NA
"TROADELLO, MONICA",394,"2003-12-10","2009-12-09","2007-12-10","2009-12-09","MENDOZA","JUSTICIALISTA","SANZ, ERNESTO RICARDO",NA
"FORSTMANN, SELVA JUDIT",395,"2007-12-12","2011-12-09","2007-12-12","2009-04-12","SANTA CRUZ","FRENTE PARA LA VICTORIA","BANICEVICH, JORGE ESTEBAN","SEGUN DPP-18/09 POR FALLECIMIENTO"
"TORRES, EDUARDO ENRIQUE",396,"2007-12-12","2011-12-09","2007-12-12","2011-12-09","MISIONES","FRENTE RENOVADOR DE LA CONCORDIA","GIMÉNEZ, SANDRA DANIELA",NA
"BANICEVICH, JORGE ESTEBAN",397,"2009-05-13","2011-12-09","2009-05-13","2011-12-09","SANTA CRUZ","FRENTE PARA LA VICTORIA","LABADO, MARÍA ESTER",NA
"JUEZ, LUIS ALFREDO",400,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","CÓRDOBA","ALIANZA FRENTE CÍVICO",NA,NA
"MESTRE, RAMON JAVIER",401,"2009-12-10","2015-12-09","2009-12-10","2011-12-09","CÓRDOBA","UNIÓN CÍVICA RADICAL",NA,"RENUNCIÓ POR DR-1367/11  A PARTIR DEL 9 DE DICIEMBRE DE 2011 PARA OCUPAR LA INTENDENCIA DE LA MUNICIPALIDAD DE LA CIUDAD DE CORDOBA"
"MEABE, JOSEFINA ANGELICA",403,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","CORRIENTES","ALIANZA FRENTE DE TODOS",NA,NA
"ROLDÁN, JOSÉ MARÍA",404,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","CORRIENTES","ALIANZA FRENTE DE TODOS",NA,NA
"ARTAZA, EUGENIO JUSTINIANO",402,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","CORRIENTES","ENCUENTRO POR CORRIENTES (A.C. y S.)",NA,NA
"GUINLE, MARCELO ALEJANDRO HORACIO",288,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","CHUBUT","FRENTE POR LA INTEGRACIÓN",NA,NA
"DI PERNA, GRACIELA AGUSTINA",406,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","CHUBUT","FRENTE POR LA INTEGRACIÓN",NA,NA
"CIMADEVILLA, MARIO JORGE",405,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","CHUBUT","UNIÓN CÍVICA RADICAL",NA,NA
"VERNA, CARLOS ALBERTO",94,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","LA PAMPA","JUSTICIALISTA",NA,NA
"HIGONET, MARIA DE LOS ANGELES",407,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","LA PAMPA","JUSTICIALISTA",NA,NA
"MARINO, JUAN CARLOS",344,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","LA PAMPA","ALIANZA FRENTE PAMPEANO CÍVICO Y SOCIAL",NA,NA
"SANZ, ERNESTO RICARDO",346,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","MENDOZA","ALIANZA FRENTE CÍVICO FEDERAL UCR-CONFE",NA,NA
"MONTERO, LAURA GISELA",409,"2009-12-10","2015-12-09","2009-12-10","2015-12-08","MENDOZA","ALIANZA FRENTE CÍVICO FEDERAL UCR-CONFE",NA,NA
"BERMEJO, ROLANDO ADOLFO",408,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","MENDOZA","ALIANZA FRENTE PARA LA VICTORIA",NA,NA
"REUTEMANN, CARLOS ALBERTO",232,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","SANTA FE","ALIANZA SANTA FE FEDERAL",NA,NA
"LATORRE, ROXANA ITATÍ",321,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","SANTA FE","ALIANZA SANTA FE FEDERAL",NA,NA
"GIUSTINIANI, RUBÉN HÉCTOR",347,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","SANTA FE","FRENTE PROGRESISTA CÍVICO Y SOCIAL",NA,NA
"ROJKES DE ALPEROVICH, BEATRIZ LILIANA",412,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","TUCUMÁN","FRENTE PARA LA VICTORIA",NA,NA
"MANSILLA, SERGIO FRANCISCO",411,"2009-12-10","2015-12-09","2009-12-10","2015-12-09","TUCUMÁN","FRENTE PARA LA VICTORIA",NA,NA
"CANO, JOSE MANUEL",410,"2009-12-10","2015-12-09","2009-12-10","2013-12-09","TUCUMÁN","FRENTE ACUERDO CÍVICO Y SOCIAL",NA,"RENUNCIO A PARTIR DEL 10/12/2013 PARA ASUMIR LA BANCA DE DIPUTADO NACIONAL DR-1395/13"
"MORANDINI, NORMA ELENA",413,"2009-12-10","2015-12-09","2010-02-24","2015-12-09","CÓRDOBA","ALIANZA FRENTE CÍVICO",NA,NA
"LÓPEZ, OSVALDO RAMÓN",414,"2011-07-27","2013-12-09","2011-07-27","2013-12-09","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA","BERTONE, ROSANA ANDREA","ASUME POR FALLECIMIENTO DEL SDOR. MARTÍNEZ"
"LINARES, JAIME",415,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","BUENOS AIRES","FRENTE AMPLIO PROGRESISTA",NA,NA
"LEGUIZAMÓN, MARÍA LAURA",350,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","BUENOS AIRES","ALIANZA FRENTE PARA LA VICTORIA",NA,NA
"FERNÁNDEZ, ANIBAL",416,"2011-12-10","2017-12-09","2011-12-10","2014-12-18","BUENOS AIRES","ALIANZA FRENTE PARA LA VICTORIA",NA,"RENUNCIO A PARTIR DEL 18.12.2014 PARA OCUPAR EL CARGO DE SECRETARIO GENERAL DE LA PRESIDENCIA"
"MAYANS, JOSÉ MIGUEL ÁNGEL",294,"2017-12-10","2023-12-09","2017-12-10","Sin Datos","FORMOSA","FRENTE DE LA VICTORIA","MAYANS, JOSÉ MIGUEL ÁNGEL",NA
"BARRIONUEVO, WALTER BASILIO",418,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","JUJUY","ALIANZA FRENTE PARA LA VICTORIA",NA,NA
"FELLNER, LILIANA BEATRIZ",356,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","JUJUY","ALIANZA FRENTE PARA LA VICTORIA",NA,NA
"MORALES, GERARDO RUBÉN",295,"2011-12-10","2017-12-09","2011-12-10","2015-12-09","JUJUY","UNIÓN CÍVICA RADICAL",NA,"Cesa para asumir como Gobernador de JUJUY"
"AGUIRRE, HILDA CLELIA",419,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","LA RIOJA","ALIANZA FRENTE POPULAR RIOJANO",NA,NA
"LUNA, MIRTHA MARÍA TERESITA",420,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","LA RIOJA","ALIANZA FRENTE PARA LA VICTORIA RIOJANO",NA,NA
"GIMÉNEZ, SANDRA DANIELA",421,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","MISIONES","FRENTE RENOVADOR DE LA CONCORDIA",NA,NA
"CABRAL, SALVADOR",422,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","MISIONES","FRENTE RENOVADOR DE LA CONCORDIA",NA,NA
"IRRAZÁBAL, JUAN MANUEL",423,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","MISIONES","FRENTE PARA LA VICTORIA",NA,NA
"GODOY, RUPERTO EDUARDO",424,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","SAN JUAN","ALIANZA FRENTE PARA LA VICTORIA",NA,NA
"RIOFRÍO, MARINA RAQUEL",364,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","SAN JUAN","ALIANZA FRENTE PARA LA VICTORIA",NA,NA
"RODRÍGUEZ SAÁ, ADOLFO",365,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","SAN LUIS","ALIANZA COMPROMISO FEDERAL",NA,NA
"NEGRE DE ALONSO, LILIANA TERESITA",266,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","SAN LUIS","ALIANZA COMPROMISO FEDERAL",NA,NA
"PÉRSICO, DANIEL RAÚL",370,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","SAN LUIS","ALIANZA FRENTE PARA LA VICTORIA",NA,NA
"LABADO, MARÍA ESTER",426,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","SANTA CRUZ","ALIANZA FRENTE PARA LA VICTORIA",NA,NA
"MARTÍNEZ, ALFREDO ANSELMO",367,"2011-12-10","2017-12-09","2011-12-10","2017-12-09","SANTA CRUZ","UNIÓN CÍVICA RADICAL",NA,NA
"BLAS, INÉS IMELDA",427,"2011-12-10","2015-12-09","2011-12-10","2015-12-09","CATAMARCA","FRENTE PARA LA VICTORIA","CORPACCI, LUCIA BENIGNA",NA
"RUIZ DIAZ, ELSA B.",428,"2011-12-10","2013-12-09","2011-12-10","2013-12-09","ENTRE RÍOS","ALIANZA FRENTE JUSTICIALISTA PARA LA VICTORIA","KUNATH, SIGRID ELISABETH",NA
"BORELLO, MARTA",429,"2011-12-10","2015-12-09","2011-12-10","2015-12-09","CÓRDOBA","UNIÓN CÍVICA RADICAL","MESTRE, RAMON JAVIER",NA
"CASTRO, MARÍA ELISA",322,"2001-11-29","2007-12-09","2001-11-29","2007-12-09","SANTIAGO DEL ESTERO","ALIANZA FRENTE PARA LA VICTORIA","ITÚRREZ DE CAPPELLINI, ADA ROSA DEL VALLE",NA
"SOSA, MARIA NOEMI",430,"2013-10-09","2013-12-09","2013-10-09","2013-12-09","RÍO NEGRO","UNIÓN CÍVICA RADICAL","ODARDA, MARÍA MAGDALENA","REEMPLAZA AL SDOR. VERANI. FALLECIDO EL 25.9.13 DPP-48/13"
"MICHETTI, MARTA GABRIELA",431,"2013-12-10","2019-12-09","2013-12-10","2015-12-09","CIUDAD AUTÓNOMA de BUENOS AIRES","ALIANZA UNIÓN PRO","ESTENSSORO, MARÍA EUGENIA","Cesa para asumir la Vicepresidencia de la Nación"
"SANTILLI, DIEGO CESAR",432,"2013-12-10","2019-12-09","2013-12-10","2015-12-09","CIUDAD AUTÓNOMA de BUENOS AIRES","ALIANZA UNIÓN PRO","CABANCHIK, SAMUEL MANUEL","Cesa para asumir como Vicejefe de Gobierno de la Ciudad de Buenos Aires"
"SOLANAS, FERNANDO EZEQUIEL",433,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","CIUDAD AUTÓNOMA de BUENOS AIRES","ALIANZA UNEN","FILMUS, DANIEL FERNANDO",NA
"AGUILAR, EDUARDO ALBERTO",434,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","CHACO","FRENTE PARA LA VICTORIA","CORREGIDO, ELENA MERCEDES",NA
"PILATTI VERGARA, MARÍA INÉS",435,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","CHACO","FRENTE PARA LA VICTORIA","BIANCALANI, FABIO DARIO",NA
"ROZAS, ÁNGEL",436,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","CHACO","UNIÓN POR CHACO","NIKISCH, ROY ABELARDO",NA
"GUASTAVINO, PEDRO GUILLERMO ÁNGEL",379,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","ENTRE RÍOS","FRENTE PARA LA VICTORIA","GUASTAVINO, PEDRO GUILLERMO ÁNGEL","RENOVO MANDATO"
"KUNATH, SIGRID ELISABETH",437,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","ENTRE RÍOS","FRENTE PARA LA VICTORIA","RUIZ DIAZ, ELSA B.",NA
"DE ANGELI, ALFREDO LUIS",438,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","ENTRE RÍOS","ALIANZA UNIÓN POR ENTRE RÍOS","VERA, ARTURO",NA
"PEREYRA, GUILLERMO JUAN",439,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","FUENTES, MARCELO JORGE",NA
"CREXELL, CARMEN LUCILA",440,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","PARRILLI, NANCI MARIA AGUSTINA",NA
"FUENTES, MARCELO JORGE",382,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","NEUQUÉN","FRENTE PARA LA VICTORIA","LORES, HORACIO","RENOVO MANDATO"
"PICHETTO, MIGUEL ÁNGEL",311,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","RÍO NEGRO","FRENTE PARA LA VICTORIA","PICHETTO, MIGUEL ÁNGEL","RENOVO MANDATO"
"GARCÍA LARRABURU, SILVINA MARCELA",441,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","RÍO NEGRO","FRENTE PARA LA VICTORIA","BONGIORNO, MARIA JOSE",NA
"ODARDA, MARÍA MAGDALENA",442,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","RÍO NEGRO","ALIANZA FRENTE PROGRESISTA","SOSA, MARIA NOEMI",NA
"URTUBEY, RODOLFO JULIO",443,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","SALTA","FRENTE PARA LA VICTORIA","ROMERO, JUAN CARLOS",NA
"FIORE VIÑUALES, MARÍA CRISTINA DEL VALLE",444,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","SALTA","FRENTE PARA LA VICTORIA","ESCUDERO, SONIA MARGARITA",NA
"ROMERO, JUAN CARLOS",35,"2013-12-10","2019-12-09","2013-12-10","Sin Datos","SALTA","FRENTE POPULAR SALTEÑO",NA,"RENOVO MANDATO"
"CORREA,  ANTONIO EDUARDO",3617,"1955-04-26","1961-04-30","1955-04-26","1955-09-21","TUCUMÁN","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"GARCIA,  ALFREDO",3618,"1958-04-30","1964-04-30","1958-05-02","1962-09-06","TUCUMÁN","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"GELSI,  CELESTINO",3619,"1963-08-12","1969-04-30","1964-01-30","1966-06-28","TUCUMÁN","U. C. R. INTRANSIGENTE","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"SALAS CORREA,  LUIS HUMBERTO",3620,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","TUCUMÁN","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"RIVAS, OLIJELA del VALLE",33,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","TUCUMÁN","JUSTICIALISTA","ORTEGA, RAMON BAUTISTA",NA
"RIVAS, OLIJELA del VALLE",33,"1989-12-06","1998-12-09","1989-12-06","1998-12-09","TUCUMÁN","JUSTICIALISTA","ORTEGA, RAMON BAUTISTA","REELECTA."
"ORTEGA, RAMON BAUTISTA",250,"1998-12-09","2001-12-09","1998-12-09","2001-12-09","TUCUMÁN","JUSTICIALISTA","SEGUI, MALVINA MARÍA","REEMPLAZA A OLIJELA DEL VALLE RIVAS POR EXPIRACION DE MANDATO."
"ALEM,  LEANDRO NICEFORO",3014,"1889-05-02","1895-04-30","1893-06-08","1893-06-08","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","IRIGOYEN,  BERNARDO DE","REEMPLAZA A MARIANO VARELA. APROBADO SU DIPLOMA NO SE INCORPORA POR DESAFUERO. LO REEMPLAZÓ BERNARDO DE YRIGOYEN."
"MOLINARI,  DIEGO LUIS",3021,"1946-05-22","1955-04-30","1946-05-22","1952-04-25","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","CALVIÑO DE GOMEZ,  MARIA ROSA","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. POR LA REFORMA CONSTITUCIONAL DE 1949 SE UNIFICAN LOS MANDATOS A PARTIR DEL 30 DE ABRIL DE 1952."
"PALACIOS,  ALFREDO LORENZO",3022,"1932-01-20","1935-04-30","1932-01-20","1935-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","SOCIALISTA","PALACIOS,  ALFREDO LORENZO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES."
"CALVIÑO DE GOMEZ,  MARIA ROSA",3023,"1952-04-25","1955-04-30","1952-04-25","1955-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","PERONISTA","CALVIÑO DE GOMEZ,  MARIA ROSA","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES."
"DE LA RUA, FERNANDO",55,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","VACA, EDUARDO PEDRO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES."
"SOLARI YRIGOYEN, HIPOLITO",43,"1987-05-13","1995-12-09","1987-05-13","1995-12-09","CHUBUT","UNIÓN CÍVICA RADICAL","SALA, OSVALDO RUBEN","COMPLETA EL PERIODO DE ALFREDO GARCIA. (1986/1995)."
"CAMPILLO,  CLETO DEL",3111,"1857-05-12","1866-04-30","1858-08-03","1861-12-12","CÓRDOBA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","COMPLETA EL PERIODO DE MARIANO FRAGUEIRO. EL 12 DE DICIEMBRE DE 1861 DISOLUCION DEL CONGRESO DE PARANA."
"PEREZ VIRASORO,  EVARISTO",3622,"1925-04-28","1934-04-30","1925-04-28","1930-09-06","CORRIENTES","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A PEDRO SOTO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"PEÑA,  VICENTE",3096,"1907-08-01","1916-04-30","1910-04-29","1916-04-30","CÓRDOBA","SIN ESPECIFICAR","ROCA,  JULIO A. (h)","COMPLETA EL PERIODO DE JOSE DE OLMOS. (1907/1916)."
"GUEMES,  LUIS",3140,"1907-05-11","1916-04-30","1907-05-11","1916-04-30","SALTA","SIN ESPECIFICAR","PATRON COSTAS,  ROBUSTIANO","REEMPLAZA A ANTONINO DIAZ POR EXPIRACION DE MANDATO."
"CANTARERO, EMILIO MARCELO",209,"1992-12-02","2001-12-09","1995-11-29","2001-12-10","SALTA","JUSTICIALISTA","ESCUDERO, SONIA MARGARITA","COMPLETA EL PERIODO DE JUAN CARLOS ROMERO. (1992/2001)."
"BARCENA,  JOSE BENITO",3230,"1854-10-17","1863-04-30","1854-10-17","1859-09-22","JUJUY","SIN ESPECIFICAR","SANCHEZ DE BUSTAMANTE,  PLACIDO","RENUNCIA EN 1859. LO REEMPLAZA PLACIDO SANCHEZ DE BUSTAMANTE."
"SOTO,  PEDRO NUMA",3623,"1916-06-13","1925-04-30","1916-06-13","1925-04-30","CORRIENTES","SIN ESPECIFICAR","PEREZ VIRASORO,  EVARISTO","REEMPLAZA A VALENTIN VIRASORO POR EXPIRACION DE MANDATO."
"BAZAN,  ABEL",3306,"1862-05-24","1871-04-30","1864-04-30","1871-04-30","LA RIOJA","SIN ESPECIFICAR","BAZAN,  ABEL",NA
"BAZAN,  ABEL",3306,"1871-06-20","1880-04-30","1871-06-20","1880-04-30","LA RIOJA","SIN ESPECIFICAR","BARROS,  NICOLAS","REELECTO."
"CARREÑO,  LEONIDAS",3310,"1907-04-30","1916-04-30","1907-04-30","1911-11-22","LA RIOJA","SIN ESPECIFICAR","DAVILA,  ADOLFO E.","FALLECE EN 1911. LO REEMPLAZA  ADOLFO DAVILA. (1912/1916)."
"DAVILA,  ADOLFO E.",3311,"1907-04-30","1916-04-30","1912-06-22","1916-04-30","LA RIOJA","CONSERVADOR","DAVILA,  ADOLFO E.","COMPLETA EL PERIODO DE LEONIDAS CARREÑO."
